1|1|1|股票代码,股票名称,筛选日期,筛选来源,筛选理由,是否买入,仓位%,买入日期,买入价格,买入_日线K,买入_日线D,买入_日线J,买入_30分K,买入_30分D,买入_30分J,买入_60分K,买入_60分D,买入_60分J,买入时形态,买入时大盘状态,买入时沪深300状态,买入理由,卖出日期,卖出价格,卖出_日线K,卖出_日线D,卖出_日线J,卖出_30分K,卖出_30分D,卖出_30分J,卖出_60分K,卖出_60分D,卖出_60分J,卖出时形态,卖出时大盘状态,卖出时沪深300状态,卖出理由,收益率%,持有天数,备注,后续走势
    56|000571.SZ,新大洲A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    57|603380.SH,易德龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    58|002842.SZ,翔鹭钨业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    59|002428.SZ,云南锗业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    60|603650.SH,彤程新材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    61|300037.SZ,新宙邦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    62|688188.SH,柏楚电子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    63|688401.SH,路维光电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    64|688380.SH,中微半导,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    65|688008.SH,澜起科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    66|300467.SZ,迅游科技,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    67|300852.SZ,四会富仕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    68|688981.SH,中芯国际,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    69|688807.SH,优迅股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    70|300265.SZ,通光线缆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    71|002407.SZ,多氟多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    72|603270.SH,金帝股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    73|688202.SH,美迪西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    74|
002897.SZ,意华股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
